gen_sp,links
Pachyramphus polychopterus,https://i.ibb.co/b6BLf5S/Pachyramphus-polychopterus.jpg
Pardirallus nigricans,https://i.ibb.co/HgsXwzt/Pardirallus-nigricans.jpg
Patagioenas plumbea,https://i.ibb.co/0M9GkJc/Patagioenas-plumbea.jpg
Phaethornis eurynome,https://i.ibb.co/NVY9krd/Phaethornis-eurynome.jpg
Pheugopedius genibarbis,https://i.ibb.co/5MbSsSL/Pheugopedius-genibarbis.jpg
Piaya cayana,https://i.ibb.co/cLXZBKv/Piaya-cayana.jpg
Pionus maximiliani,https://i.ibb.co/0Z3N8Gd/Pionus-maximiliani.jpg
Pitangus sulphuratus,https://i.ibb.co/Gnbs8sB/Pitangus-sulphuratus.jpg
Platyrinchus mystaceus,https://i.ibb.co/TwH2dLF/Platyrinchus-mystaceus.jpg
Polioptila dumicola,https://i.ibb.co/rpTkzYK/Polioptila-dumicola.jpg
Procnias nudicollis,https://i.ibb.co/YLKY1Zv/Procnias-nudicollis.jpg
Pyriglena leucoptera,https://i.ibb.co/QF1W4KX/Pyriglena-leucoptera.jpg
Ramphastos vitellinus,https://i.ibb.co/6tGfPZD/Ramphastos-vitellinus.jpg
Ramphocaenus melanurus,https://i.ibb.co/YBfNdwT/Ramphocaenus-melanurus.jpg
Rhopias gularis,https://i.ibb.co/3fB4SvW/Rhopias-gularis.jpg
Rhytipterna simplex,https://i.ibb.co/Fmk4cYB/Rhytipterna-simplex.jpg
Rupornis magnirostris,https://i.ibb.co/L98jTdQ/Rupornis-magnirostris.jpg
Saltator atricollis,https://i.ibb.co/RPPJXVd/Saltator-atricollis.jpg
Saltator fuliginosus,https://i.ibb.co/P9g0HNt/Saltator-fuliginosus.jpg
Saltator maximus,https://i.ibb.co/0yJKqL5/Saltator-maximus.jpg
Saltator similis,https://i.ibb.co/R35N8Sv/Saltator-similis.jpg
Sclerurus scansor,https://i.ibb.co/6nJcjYb/Sclerurus-scansor.jpg
Scytalopus speluncae,https://i.ibb.co/7prYM8G/Scytalopus-speluncae.jpg
Sicalis flaveola,https://i.ibb.co/N9czNgf/Sicalis-flaveola.jpg
Sittasomus griseicapillus,https://i.ibb.co/Sd7pLwb/Sittasomus-griseicapillus.jpg
Synallaxis frontalis,https://i.ibb.co/Ld2NyrV/Synallaxis-frontalis.jpg
Synallaxis ruficapilla,https://i.ibb.co/wsDsnxx/Synallaxis-ruficapilla.jpg
Synallaxis spixi,https://i.ibb.co/XYXJv77/Synallaxis-spixi.jpg
Syndactyla rufosuperciliata,https://i.ibb.co/1KGV3kB/Syndactyla-rufosuperciliata.jpg
Tapera naevia,https://i.ibb.co/2PJdM0L/Tapera-naevia.jpg
Taraba major,https://i.ibb.co/47c6LHJ/Taraba-major.jpg
Thamnophilus ambiguus,https://i.ibb.co/HnY7jkR/Thamnophilus-ambiguus.jpg
Thamnophilus caerulescens,https://i.ibb.co/S0dn0Yc/Thamnophilus-caerulescens.jpg
Thamnophilus doliatus,https://i.ibb.co/Yd1G7Lk/Thamnophilus-doliatus.jpg
Thraupis sayaca,https://i.ibb.co/LpYfRg5/Thraupis-sayaca.jpg
Todirostrum poliocephalum,https://i.ibb.co/tswqMFW/Todirostrum-poliocephalum.jpg
